Product,pieces in link,amount,price,link,w/tax,round
steel ball,10,1,3.12,Aliexpress,3.3774,3.38
Diode,10,1,5.85,Aliexpress,6.332625,6.33
IRLZ44N mosfet,10,1,6.97,Aliexpress,7.545025,7.55
ESP32-S3,1,1,3.81,Aliexpress,4.124325,4.12
perfboard,1,1,4.13,Aliexpress,4.470725,4.47
12v 8a power,1,1,13.29,Aliexpress,14.386425,14.39
switches,20,1,4.13,Aliexpress,4.470725,4.47
optocoupler,10,1,8.86,Aliexpress,9.59095,9.59
IR LEDS ,5 sets,1,1.1,Aliexpress,1.19075,1.19
magnet wire,1,2,7.8,Aliexpress,8.4435,8.44
5v 4a li po,1,1,41.6,Aliexpress,45.032,45.03
,,total,100.66,,108.96445,108.96
,,w/shipping,114.07,,,122.37
,,w/discounts,74.08,,,82.38
